name,frame duration,start frame,end frame,duration (s),start (s),end (s)
Mother,27,6107,6134,0.9,203.84,204.74
none,12,6134,6146,0.4,204.74,205.14
Judge_2,1,6146,6147,0.03,205.14,205.17
none,1,6147,6148,0.03,205.17,205.21
Judge_2,1,6148,6149,0.03,205.21,205.24
none,36,6149,6185,1.2,205.24,206.44
Judge_1,14,6185,6199,0.47,206.44,206.91
Judge_2,4,6199,6203,0.13,206.91,207.04
none,1,6203,6204,0.03,207.04,207.08
Judge_2,1,6204,6205,0.03,207.08,207.11
none,64,6205,6269,2.14,207.11,209.25
Mother,1,6269,6270,0.03,209.25,209.28
none,89,6270,6359,2.97,209.28,212.25
Mother,1,6359,6360,0.03,212.25,212.28
none,1,6360,6361,0.03,212.28,212.32
Mother,2,6361,6363,0.07,212.32,212.38
none,17,6363,6380,0.57,212.38,212.95
Mother,1,6380,6381,0.03,212.95,212.98
none,1,6381,6382,0.03,212.98,213.02
Mother,1,6382,6383,0.03,213.02,213.05
none,9,6383,6392,0.3,213.05,213.35
Mother,9,6392,6401,0.3,213.35,213.65
none,1,6401,6402,0.03,213.65,213.68
Mother,1,6402,6403,0.03,213.68,213.72
none,5,6403,6408,0.17,213.72,213.89
Mother,1,6408,6409,0.03,213.89,213.92
none,12,6409,6421,0.4,213.92,214.32
Mother,2,6421,6423,0.07,214.32,214.39
none,16,6423,6439,0.53,214.39,214.92
Mother,2,6439,6441,0.07,214.92,214.99
none,3,6441,6444,0.1,214.99,215.09
Mother,9,6444,6453,0.3,215.09,215.39
none,1,6453,6454,0.03,215.39,215.42
Mother,4,6454,6458,0.13,215.42,215.55
none,32,6458,6490,1.07,215.55,216.62
Mother,4,6490,6494,0.13,216.62,216.76
none,10,6494,6504,0.33,216.76,217.09
Mother,11,6504,6515,0.37,217.09,217.46
none,38,6515,6553,1.27,217.46,218.72
Mother,2,6553,6555,0.07,218.72,218.79
none,5,6555,6560,0.17,218.79,218.96
Mother,2,6560,6562,0.07,218.96,219.03
none,5,6562,6567,0.17,219.03,219.19
Mother,9,6567,6576,0.3,219.19,219.49
none,4,6576,6580,0.13,219.49,219.63
Mother,3,6580,6583,0.1,219.63,219.73
none,2,6583,6585,0.07,219.73,219.79
Mother,1,6585,6586,0.03,219.79,219.83
none,39,6586,6625,1.3,219.83,221.13
Mother,26,6625,6651,0.87,221.13,222.0
none,2,6651,6653,0.07,222.0,222.06
Mother,5,6653,6658,0.17,222.06,222.23
none,8,6658,6666,0.27,222.23,222.5
Mother,1,6666,6667,0.03,222.5,222.53
none,2,6667,6669,0.07,222.53,222.6
Mother,1,6669,6670,0.03,222.6,222.63
none,1,6670,6671,0.03,222.63,222.66
Mother,9,6671,6680,0.3,222.66,222.96
none,2,6680,6682,0.07,222.96,223.03
Mother,11,6682,6693,0.37,223.03,223.4
none,20,6693,6713,0.67,223.4,224.07
Mother,3,6713,6716,0.1,224.07,224.17
none,1,6716,6717,0.03,224.17,224.2
Mother,17,6717,6734,0.57,224.2,224.77
none,1,6734,6735,0.03,224.77,224.8
Mother,6,6735,6741,0.2,224.8,225.0
none,1,6741,6742,0.03,225.0,225.03
Mother,1,6742,6743,0.03,225.03,225.07
none,2,6743,6745,0.07,225.07,225.13
Mother,3,6745,6748,0.1,225.13,225.23
none,1,6748,6749,0.03,225.23,225.27
Mother,6,6749,6755,0.2,225.27,225.47
none,2,6755,6757,0.07,225.47,225.53
Mother,50,6757,6807,1.67,225.53,227.2
none,1,6807,6808,0.03,227.2,227.24
Mother,6,6808,6814,0.2,227.24,227.44
none,2,6814,6816,0.07,227.44,227.5
Mother,29,6816,6845,0.97,227.5,228.47
none,1,6845,6846,0.03,228.47,228.5
Mother,35,6846,6881,1.17,228.5,229.67
none,1,6881,6882,0.03,229.67,229.71
Mother,1,6882,6883,0.03,229.71,229.74
none,3,6883,6886,0.1,229.74,229.84
Mother,1,6886,6887,0.03,229.84,229.87
none,6,6887,6893,0.2,229.87,230.07
Mother,8,6893,6901,0.27,230.07,230.34
none,2,6901,6903,0.07,230.34,230.41
Mother,22,6903,6925,0.73,230.41,231.14
none,163,6925,7088,5.44,231.14,236.58
Mother,1,7088,7089,0.03,236.58,236.62
none,1,7089,7090,0.03,236.62,236.65
Mother,2,7090,7092,0.07,236.65,236.72
none,1,7092,7093,0.03,236.72,236.75
Mother,1,7093,7094,0.03,236.75,236.78
none,79,7094,7173,2.64,236.78,239.42
Mother,6,7173,7179,0.2,239.42,239.62
none,21,7179,7200,0.7,239.62,240.32
Mother,20,7200,7220,0.67,240.32,240.99
none,1,7220,7221,0.03,240.99,241.02
Mother,14,7221,7235,0.47,241.02,241.49
none,1,7235,7236,0.03,241.49,241.52
Mother,4,7236,7240,0.13,241.52,241.66
none,7,7240,7247,0.23,241.66,241.89
Mother,9,7247,7256,0.3,241.89,242.19
none,116,7256,7372,3.87,242.19,246.06
Mother,29,7372,7401,0.97,246.06,247.03
none,2,7401,7403,0.07,247.03,247.1
Mother,27,7403,7430,0.9,247.1,248.0
none,1,7430,7431,0.03,248.0,248.03
Mother,21,7431,7452,0.7,248.03,248.73
none,1,7452,7453,0.03,248.73,248.77
Mother,6,7453,7459,0.2,248.77,248.97
none,2,7459,7461,0.07,248.97,249.03
Mother,2,7461,7463,0.07,249.03,249.1
none,2,7463,7465,0.07,249.1,249.17
Mother,20,7465,7485,0.67,249.17,249.83
none,2,7485,7487,0.07,249.83,249.9
Mother,1,7487,7488,0.03,249.9,249.93
none,3,7488,7491,0.1,249.93,250.03
Mother,2,7491,7493,0.07,250.03,250.1
none,1,7493,7494,0.03,250.1,250.13
Mother,2,7494,7496,0.07,250.13,250.2
none,16,7496,7512,0.53,250.2,250.73
Mother,1,7512,7513,0.03,250.73,250.77
none,1,7513,7514,0.03,250.77,250.8
Mother,1,7514,7515,0.03,250.8,250.83
none,11,7515,7526,0.37,250.83,251.2
Mother,22,7526,7548,0.73,251.2,251.94
none,1,7548,7549,0.03,251.94,251.97
Mother,1,7549,7550,0.03,251.97,252.0
none,23,7550,7573,0.77,252.0,252.77
Judge_2,5,7573,7578,0.17,252.77,252.94
none,17,7578,7595,0.57,252.94,253.5
Judge_1,4,7595,7599,0.13,253.5,253.64
none,110,7599,7709,3.67,253.64,257.31
Mother,1,7709,7710,0.03,257.31,257.34
none,1,7710,7711,0.03,257.34,257.38
Mother,2,7711,7713,0.07,257.38,257.44
